# Program:featureCounts v2.0.8; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-s" "2" "-p" "-T" "1" "-a" "raw_data/references/GCF_000002985.6_WBcel235_clean.gtf" "-o" "results/expression/featurecounts/Neg_1_2_gene_counts.tsv" "results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam
CELE_Y48G1C.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	49921;50815;52283;52370;52466;52466;53266;53266;53391;53391;53944;53944	50016;51030;52410;52410;52572;52572;53337;53337;53695;53695;54360;54426	+;+;+;+;+;+;+;+;+;+;+;+	1407	1061
CELE_Y48G1C.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	55293;55890;56124;56537;56872;57257;59045;61236;62774;63797;63904;64018	55450;56047;56293;56687;57053;57625;60236;62051;62974;63856;63972;64066	-;-;-;-;-;-;-;-;-;-;-;-	3575	18
CELE_Y48G1C.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	71425;71847;72511;72511;72647;72647;72941;72941;73605;73605;74625;74625;75171;75171;75951;75951;76949;76949;77713;77713;79313;79313;79355;80306;80306;80306	71511;71932;72590;72590;72897;72897;73017;73017;73766;73766;74808;74808;75490;75490;76112;76112;77153;77153;77799;77799;79447;79447;79447;81066;80344;80344	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2597	2460
CELE_Y48G1C.10	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	81193;81885;82016;82586;83181;84190;84388;84614;84836;86824;86841;87034;87034;87520;87520;88268;88268;88566;88566;89372;89372;89480;90419;90419;90419	81272;81963;82137;82676;83420;84313;84567;84738;84985;86904;86904;87223;87223;87734;87734;88500;88500;88706;88706;89584;89584;89584;90607;90607;91296	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3142	1513
CELE_Y48G1C.6	NC_003279.8;NC_003279.8;NC_003279.8	84990;85441;86097	85354;85621;86293	-;-;-	743	120
CELE_Y48G1C.9	NC_003279.8;NC_003279.8;NC_003279.8	91404;92523;92583	91594;92720;92648	+;+;+	389	538
CELE_Y48G1C.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	93022;93182;93609;94064;94269;94622	93136;93556;94015;94208;94568;94884	+;+;+;+;+;+	1605	1045
CELE_Y48G1C.13	NC_003279.8;NC_003279.8;NC_003279.8	94829;94976;95237	94929;95118;95312	-;-;-	320	246
CELE_Y48G1C.8	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	96459;96471;97600;97600;98295;98295;99629;99629;100139;100139;100395;100395;101505;101505;102448;102448;104440;104440;105436;105436;106016;106016;106689;106689;107356;107356;107596;107596	96992;96992;97960;97960;99058;99058;99789;99789;100338;100323;100625;100625;101733;101733;103216;103216;104713;104713;105621;105621;106334;106334;106819;106819;107548;107548;108167;108223	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4980	7087
CELE_F53G12.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	108674;109492;109835;110005	109446;109783;109956;110057	-;-;-;-	1240	16707
CELE_F53G12.16	NC_003279.8	110551	110771	-	221	0
CELE_F53G12.15	NC_003279.8	110576	110724	+	149	0
CELE_F53G12.10	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	111038;111161;111510;111755;112019	111065;111260;111707;111971;112272	+;+;+;+;+	797	69708
CELE_F53G12.17	NC_003279.8	111287	111436	-	150	0
CELE_F53G12.12	NC_003279.8	111292	111425	+	134	0
CELE_F53G12.9	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	112285;112527;112700;113239;113314;113426;113426;113596;113596	112481;112652;112903;113382;113382;113527;113527;113661;113751	+;+;+;+;+;+;+;+;+	929	24
CELE_F53G12.8	NC_003279.8;NC_003279.8;NC_003279.8	113807;114085;114544	113863;114423;114708	+;+;+	561	10
CELE_F53G12.14	NC_003279.8	115656	115676	-	21	0
CELE_F53G12.7	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	115687;116432;116462;116719;116719;117086;117086	115915;116666;116666;116974;116974;117498;117401	+;+;+;+;+;+;+	1133	24
CELE_F53G12.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	118093;118553;119571;119946;120242;120488;120763	118208;118953;119900;120185;120378;120710;120901	+;+;+;+;+;+;+	1586	8
CELE_F53G12.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	127285;127385;128697;128697;128945;128945;129167;129176;132103;132103;132262;132612;132612;132612;133414;133414;133414	127336;127436;128896;128896;129124;129124;129333;129333;132553;132553;132553;132693;132693;132693;134267;133582;134270	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2041	17186
CELE_F53G12.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	134337;134506;135549;136235;137209	134428;134581;135898;136712;137282	+;+;+;+;+	1070	38
CELE_F53G12.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	137845;138017;138193;138393;138829;139080;139378;139769;140136;140371;140554;140916;141681;141900;142067;142278;142547;142729;143007;144265;144440	137886;138143;138351;138782;139032;139331;139669;139982;140292;140496;140870;141213;141854;142023;142230;142477;142671;142939;143684;144396;144565	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4512	14
CELE_F53G12.18	NC_003279.8;NC_003279.8	144811;146391	144971;146514	+;+	285	0
CELE_F56C11.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	146486;146793;147054;147784;148099;149060;149303;149520;150391;150734;151227;151461;152069;152407;152706;152956;153395;153603;154759	146748;146924;147731;147994;148223;149259;149472;149817;150688;151182;151383;151674;152360;152658;152909;153345;153553;153680;154855	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4667	890
CELE_F56C11.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	160190;160404;160712;160712;161597;161597;162368;162368;162645;162645;163099;163099;163500;163500;163809;163809;164677;164677;164900;164900;165377;165543;166002;166747	160546;160546;160999;160999;161889;161889;162597;162597;162717;162717;163430;163430;163608;163608;164203;164203;164765;164765;164957;165008;165487;165660;166104;166819	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2680	224
CELE_F56C11.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	171225;171340;173412;173412;173422;173561;173561;173561;173775;173775;174605;174605;174605;174878;174878;174878;175097;175097;175097;175579;175579;175579;175755;175755;175755	171368;171368;173508;173508;173508;173725;173725;174312;174312;174312;174832;174832;174832;175053;175053;175053;175241;175241;175241;175708;175708;175708;175932;175989;175932	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1907	426
CELE_F56C11.7	NC_003279.8	178232	178291	-	60	0
CELE_F56C11.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	178524;180081;180600;180600;181251;181251;181663;181663;181814;181814	178620;180465;180698;180698;181514;181514;181767;181767;182159;182161	+;+;+;+;+;+;+;+;+;+	1298	859
CELE_F56C11.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	182068;182394;182545;182672	182345;182500;182616;182772	-;-;-;-	558	287
CELE_Y48G1BL.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	183364;183507;183725;189049;189645;190557;191178;191582;191779;192692;192695;193589;193589;194710;194710;195020;195020;195357;195357;196083;196083;197205;197205;197959;197959;200047;200047;201303;201303;202124;202124;203067;203067;204262;204262;205074;205074;205300;205300;206420;206420;206693;206693;207061;207061;207704;207704	183456;183629;184209;189211;189963;191067;191299;191725;191858;193095;193095;193934;193934;194798;194798;195215;195215;195523;195523;196333;196333;197653;197653;198073;198073;200503;200503;201693;201693;202447;202447;203358;203358;204685;204685;205218;205218;205597;205597;206591;206591;206781;206781;207311;207311;207952;208468	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7665	2078
CELE_F56C11.T1	NC_003279.8	185335	185409	+	75	0
CELE_Y48G1BL.7	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	209281;209958;210152;211070;211257;211495	209550;210100;210329;211176;211384;211738	+;+;+;+;+;+	1070	6
CELE_Y48G1BL.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	212256;213524;214858;215387	212496;214186;215316;215491	-;-;-;-	1468	1967
CELE_Y48G1BL.1	NC_003279.8;NC_003279.8;NC_003279.8	216028;216145;216331	216092;216277;217002	+;+;+	870	64
CELE_Y48G1BL.8	NC_003279.8;NC_003279.8	217928;218772	218205;219137	+;+	644	18
CELE_Y48G1BL.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	219735;220004;220223;220398;220996;221498	219828;220107;220350;220474;221447;221575	-;-;-;-;-;-	933	231
CELE_Y48G1BM.10	NC_003279.8;NC_003279.8	231578;232683	232193;234427	-;-	2361	2
CELE_Y48G1BM.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	233174;233273;233466;233466;233626;233626;233783;233783;234029;236253;236520;236520;237531;237531	233418;233418;233573;233573;233733;233733;233983;233983;236444;236444;236666;236666;237598;237853	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3548	31
CELE_Y48G1BM.7	NC_003279.8;NC_003279.8;NC_003279.8	238616;239519;240236	238772;239617;240250	-;-;-	271	2
CELE_Y48G1BM.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	240491;242321;242852;243472;243702;244490	240532;242419;243078;243608;244062;245414	+;+;+;+;+;+	1791	8
CELE_Y48G1BM.8	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	248624;248732;248958;249495;249675;251206;251476	248687;248899;249050;249587;249869;251406;251580	-;-;-;-;-;-;-	919	66
CELE_Y48G1BM.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	252107;252236;252424;253302;253708;253946	252183;252370;253053;253469;253803;254294	+;+;+;+;+;+	1455	134
CELE_Y48G1BR.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	254267;254976;255195;255370;255818;256316;257418;258021;258548;259107	254802;255079;255325;255446;255960;256643;257661;258358;258683;259157	-;-;-;-;-;-;-;-;-;-	2088	303
CELE_T13E5.1	NC_003279.8	263502	263618	-	117	0
CELE_C53D5.8	NC_003279.8	272603	272623	-	21	0
CELE_C53D5.7	NC_003279.8	272607	272627	-	21	0
CELE_C53D5.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	280114;280311;283519;284309;285008;285558;285835	280206;280431;283649;284538;285211;285638;286113	+;+;+;+;+;+;+	1139	133
CELE_C53D5.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	286040;286088;286352;286352;286371;286371;286874;286874;286874;287509;287509;287509;287509;287509;287509;288558;288558;288558;288558;288750;288750;288750;288750;288973;288973;288973;288973	286420;286420;286420;286420;286420;286420;286997;286997;286997;287895;288003;287895;288003;288003;288003;288644;288644;288644;288644;288902;288902;288902;288902;289035;289035;289185;289185	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1453	520
CELE_C53D5.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	291215;295333;295792;295792;301209;302595;302595;302595;302595;302761;302761;302761;302761;303203;303203;303203;303203;303788;303788;303788;303788;304093;304093;304093;304093;304928;304928;304928;304928	291307;295420;295850;295850;301234;302704;302704;302704;302704;302830;302830;302830;302830;303728;303728;303728;303728;303909;303909;303909;303909;304255;304255;304255;304255;305080;305471;305471;305471	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1801	933
CELE_C53D5.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	305811;305900;306290;306290;307091;307091;308571;308571;309205;309205;309542;309542;310762	306088;306088;306608;306608;307814;307814;308791;308791;309434;309434;309761;309649;310790	-;-;-;-;-;-;-;-;-;-;-;-;-	2021	706
CELE_C53D5.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	310981;311634;311836;312926;313888;314154;314823	311576;311784;312878;313842;314102;314774;314989	-;-;-;-;-;-;-	3710	16794
CELE_Y48G1A.7	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	316635;317192;317457;318001	317144;317414;317606;318066	-;-;-;-	949	88
CELE_Y48G1A.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	318549;318825;319738;319738;321075;322785;323143	319128;319128;320417;320021;322388;323093;323352	-;-;-;-;-;-;-	3093	7917
CELE_Y48G1A.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	323855;323979;324289;325299;326959;327847;330111	323934;324240;324653;326048;327245;327979;330987	+;+;+;+;+;+;+	2754	1646
CELE_Y48G1A.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	332604;332846;333791;335709;337565	332764;332949;334110;336143;337845	+;+;+;+;+	1301	864
CELE_Y48G1A.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	343069;343069;343894;343894;345021;345021;346375;346375;346561;346561;346793;346793;347093;348305	343649;343649;344033;344033;345830;345830;346516;346516;346742;346742;347044;347044;347150;348424	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2285	1047
CELE_Y48G1A.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	347469;347630;347762;348042	347581;347706;347983;348357	+;+;+;+	728	1432
CELE_Y48G1A.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	348460;348677;349352;350185;350641;351794;352866;353744;354381;355374;355538;356834;356994	348619;348904;349680;350346;350985;352080;353172;353964;354699;355481;355817;356946;357236	+;+;+;+;+;+;+;+;+;+;+;+;+	3102	511
CELE_R119.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	357240;357376;358291;360225;361249;363070;363655;363772	357327;357482;358758;361198;361584;363603;363714;363901	-;-;-;-;-;-;-;-	2697	742
CELE_R119.7	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	364510;364517;364736;364736;365531;365531;365644;366653;366653;367746;367746	364679;364679;365191;365191;365960;365596;365960;367209;367209;368295;368579	+;+;+;+;+;+;+;+;+;+;+	2447	4447
CELE_R119.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	368270;368501;370424;370424;371355;371355;372617;372617;373331;373331	369246;369246;370761;370761;371673;371673;372713;372707;373445;373465	-;-;-;-;-;-;-;-;-;-	1866	908
CELE_R119.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	373571;377198;378571;378703;378929	373742;377518;378641;378876;379073	-;-;-;-;-	883	1293
CELE_R119.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	379071;380183;380605;380971;381266;381791	380128;380555;380921;381218;381470;381902	-;-;-;-;-;-	2313	35587
CELE_R119.6	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	382826;382989;383121;383429;384625;386076;388046;388377	382913;383064;383374;383564;385225;386336;388150;388564	+;+;+;+;+;+;+;+	1709	1688
CELE_R119.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	388470;388491;389759;389759;390193;390193;391035;391035;391612;391612;392158;392158;392456;392456;392998;392998;393356;393356;394090;394090	388938;388938;389820;389820;390552;390552;391100;391100;391803;391806;392192;392192;392662;392662;393122;393122;393639;393639;394415;394415	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2129	452
CELE_Y50C1A.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	398891;399189;399953;401955;402291;402293;403514;403514;406063;406063;407370;407370;408521;408521;410344;410344;411203;411203;412441;412441	399048;399269;400105;402047;402417;402417;403717;403717;406231;406231;407544;407544;408763;408763;410626;410626;411435;411435;412907;412919	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2398	1797
CELE_Y50C1A.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	412860;415872;416446;417522;417803;417978;418445	413094;416096;416651;417650;417931;418097;418677	-;-;-;-;-;-;-	1277	10
CELE_C07F11.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	420922;421099;421565;422293;422539;422739;423501	421032;421221;422182;422493;422688;422893;423713	+;+;+;+;+;+;+	1571	18
CELE_C07F11.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	444003;444254;444994;446708;446914;450197;450482;451295;455356;455546;456856;457236;459569;460950	444109;444376;445084;446782;447051;450306;450759;451461;455491;455721;456994;458621;460062;461605	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4076	3027
CELE_W04C9.4	NC_003279.8;NC_003279.8;NC_003279.8	461995;462230;462371	462173;462318;462651	+;+;+	549	1122
CELE_W04C9.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	462606;463235;464259;465054;465648;465996;467028	462871;463421;464524;465214;465695;466124;467137	-;-;-;-;-;-;-	1167	12
CELE_W04C9.7	NC_003279.8	463304	463324	+	21	0
CELE_W04C9.8	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	471135;472229;473718;473833	471289;472503;473786;473890	+;+;+;+	557	24
CELE_W04C9.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	477582;478214;478465;478879;479934;480751;481838	477732;478323;478743;479109;480181;481129;482028	+;+;+;+;+;+;+	1589	44
CELE_W04C9.9	NC_003279.8;NC_003279.8;NC_003279.8	481961;482548;483870	482099;483028;483880	-;-;-	631	6
